单播,#genre#,DE=-1#SC=-1#HEADERS=null#JS=null#PB=null#HOST=null#PBO=0#IJKAD=-1#TSO=0
大湾区卫视,rtsp://183.59.156.166/PLTV/88888905/224/3221230001/10000100000000060000000011293289_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EX0PewjSIz0tu2R4kmNEkjQ%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052020101699000001%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000011293289_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
广东影视,rtsp://183.59.156.166/PLTV/88888905/224/3221229939/10000100000000060000000011293286_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EGHiuKN7Jl2gUfCwl512uww%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052020101699000002%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000011293286_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
广东少儿,rtsp://183.59.156.166/PLTV/88888905/224/3221230010/10000100000000060000000011293288_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E_hI47td-49nnWO1hD4vU7g%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052020101699000004%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000011293288_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
嘉佳卡通,rtsp://183.59.156.166/PLTV/88888905/224/3221230108/320918166.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EKvIXzkO4smSBDqLqdFwSKg%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052020121799000002%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C320918166%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
广东4K超高清,rtsp://183.59.156.166/PLTV/88888905/224/3221229717/10000100000000060000000008643415_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ERADh4hieUGCNdNMPDEDsJw%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052017112999000001%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000008643415_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
广东4K超高清 窄色域 30,rtsp://183.59.156.166/PLTV/88888905/224/3221229713/10000100000000060000000008646185_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EJ0zWCbTPbymW8NL3O3GruA%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052017120499000001%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000008646185_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
南方购物-精选,rtsp://183.59.156.166/PLTV/88888905/224/3221227224/10000100000000060000000000990026_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ENDKdzEbwG2uWW6AskdLAmg%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000001000000050000000000000382%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000990026_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
广东4K超高清 宽色域AVS2,rtsp://183.59.156.166/PLTV/88888905/224/3221229712/10000100000000060000000008796229_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EA-KPqmb9lXkt5USi1Knerg%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052018012499000001%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000008796229_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
广东移动,rtsp://183.59.156.166/PLTV/88888905/224/3221227209/10000100000000060000000000987164_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EVb8-2S-6AKeMAFhv98MVQA%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000001000000050000000000000387%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000987164_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
南国都市4K,rtsp://183.59.156.166/PLTV/88888905/224/3221230174/486705679.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EzZr9yZ6u0gkFA79iIwtmRA%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052022042799000002%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C486705679%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
