单播,#genre#,DE=-1#SC=-1#HEADERS=null#JS=null#PB=null#HOST=null#PBO=0#IJKAD=-1#TSO=0
广州综合高清,rtsp://183.59.156.166/PLTV/88888905/224/3221230104/453207146.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E9L50UHFK7dRfK358-Iss5w%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052022011999000006%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C453207146%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
广州新闻高清,rtsp://183.59.156.166/PLTV/88888905/224/3221230113/453206913.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EDqr8xed2V_KeY7MlH3zzCw%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052022011999000007%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C453206913%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
广州影视高清,rtsp://183.59.156.166/PLTV/88888905/224/3221230115/453198755.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E9FBJ_UqXu9Ay9pjrlAiEFQ%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052022011999000008%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C453198755%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
广州法治高清,rtsp://183.59.156.166/PLTV/88888905/224/3221230168/453206912.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E1gn4Irk2iZvG_VSafQrC7A%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052022011999000009%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C453206912%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
南方购物,rtsp://183.59.156.166/PLTV/88888905/224/3221227200/10000100000000060000000000987154_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EMF-Mtg59QFua_7gpd56hOA%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000001000000050000000000000389%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000987154_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
岭南戏曲,rtsp://183.59.156.166/PLTV/88888905/224/3221230103/669448382.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Ep7TPBcFdf0Alh8NInVZARA%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052023072599000001%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C669448382%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
现代教育,rtsp://183.59.156.166/PLTV/88888905/224/3221230127/669448259.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EDJPo-TXdOTsHfVfUNkdl1Q%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000006000000052023072599000002%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C669448259%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-1综合,rtsp://183.59.156.166/PLTV/88888905/224/3221227255/10000100000000060000000001066420_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EN_FKVK17tO2JAbPhVqWAYw%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000000000000050000000000000055%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066420_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-2财经,rtsp://183.59.156.166/PLTV/88888905/224/3221227316/10000100000000060000000001066428_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EoxuN3Sh2ENJR__RhZsCXvQ%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000000000000050000000000000058%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066428_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-3综艺,rtsp://183.59.156.166/PLTV/88888905/224/3221227046/10000100000000060000000000657994_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EanoGgbQj8eOZ9W_u7CNyVQ%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000001000000050000000000000214%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000657994_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-4中文国际,rtsp://183.59.156.166/PLTV/88888905/224/3221227284/10000100000000060000000001066429_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EJHXI6JZ75puLBitXQZRGcg%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000000000000050000000000000053%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066429_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-5体育,rtsp://183.59.156.166/PLTV/88888905/224/3221227038/10000100000000060000000000657995_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EBUa1GV61hIH1uoI67R8iDg%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000001000000050000000000000216%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000657995_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-6电影,rtsp://183.59.156.166/PLTV/88888905/224/3221226991/10000100000000060000000000657996_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E0FpEETCswoud5_UiBhHj5g%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000001000000050000000000000217%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000657996_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-7国防军事,rtsp://183.59.156.166/PLTV/88888905/224/3221227290/10000100000000060000000001066434_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EFF5AIRxXIh2YfWpqXU6Caw%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000000000000050000000000000102%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066434_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-8电视剧,rtsp://183.59.156.166/PLTV/88888905/224/3221227041/10000100000000060000000000657998_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EJWh5YqTX4vEtfX8Z7_qhHQ%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000001000000050000000000000218%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000000657998_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-9纪录,rtsp://183.59.156.166/PLTV/88888905/224/3221227272/10000100000000060000000001030757_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EycZOnUht5dpMMp3wNyRUVw%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000000000000050000000000000084%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001030757_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-10科教,rtsp://183.59.156.166/PLTV/88888905/224/3221227287/10000100000000060000000001066432_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EmKLUOESBXveOGlWCTv4gaw%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000000000000050000000000000087%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066432_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-11戏曲,rtsp://183.59.156.166/PLTV/88888905/224/3221227319/10000100000000060000000001066511_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EiuKC54-b3nmKFjwlD8p_cA%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000000000000050000000000000056%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066511_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-12社会与法,rtsp://183.59.156.166/PLTV/88888905/224/3221227313/10000100000000060000000001066425_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EVS69gG3tTwTHw1IG7kjaSw%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000000000000050000000000000059%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066425_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-13新闻,rtsp://183.59.156.166/PLTV/88888905/224/3221227258/10000100000000060000000001066424_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EhNpFAZu-DnMa6evj-0YGRA%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000000000000050000000000000063%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066424_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
CCTV-14少儿,rtsp://183.59.156.166/PLTV/88888905/224/3221227278/10000100000000060000000001066421_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ENFMOqAxO8-kPLeu5DsyJZA%7E45b62vaWPl4ozmWjVjDmrBAwP53Ya-SXAxhr59De4K8CWKhP7OGw8GsUngBQt_X-zOdiWz6Fg08T-fpss3wixbxwO8BVexQliLQrYYSp_tI%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20250514220532%2C28589592%2C10.91.44.130%2C20250514220532%2C02000000000000050000000000000066%2C28589592%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C10000100000000060000000001066421_0%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2PwQ6CMBBE_6bHBqiIHHrCmJiYagJ6NWu7VEKh2AKJf29BDnPYmXnJ7OhA4vnI-8kY4vEjLE-IBGOaXgurluhRFs_4wGia0zjd0x0j1QKdDGgerV0xdS902xHAEt3cSOTK13QGT0FrhxrGxvb0ZuB7d2arEKy2AXG2y5KgKMoZI-PiVuDbkJA3-MJ2AzhUF6tXgNdgPJIBZAsaBXT4_2Dlrk6FNT8ozU4P2gAAAA
