央视频道,#genre#
兵团卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-BTWS-SD/7999000/7999000.m3u8
河北,#genre#
河北经济,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HEBJJ-HD/7999000/7999000.m3u8
河北农民,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HEBNM-HD/7999000/7999000.m3u8
河北都市,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HEBDS-HD/7999000/7999000.m3u8
河北影视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HEBYS-HD/7999000/7999000.m3u8
河北公共,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HEBGG-HD/7999000/7999000.m3u8
河北收视指南,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HEBSSZN-HD/7999000/7999000.m3u8
河北杂技,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HEBZJ-HD/7999000/7999000.m3u8
河北少儿科教,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HEBSEKJ-HD/7999000/7999000.m3u8
唐山新闻,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-TSXWZH-HD/7999000/7999000.m3u8
唐山生活,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-TSSHFW-HD/7999000/7999000.m3u8
唐山公共,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-TSGG-HD/7999000/7999000.m3u8
电影频道,#genre#
CHC动作电影,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DZDY-HD/7999000/7999000.m3u8
CHC家庭影院,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JTYY-HD/7999000/7999000.m3u8
都市剧场,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DSJC-HD/7999000/7999000.m3u8
华诚高清,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HCGQ-HD/7999000/7999000.m3u8
唐山影视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-TSYSHD/7999000/7999000.m3u8
重温经典,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CWJD-HD/7999000/7999000.m3u8
风云剧场,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-FYJC-HD/7999000/7999000.m3u8
第一剧场,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DYJC-HD/7999000/7999000.m3u8
怀旧剧场,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HJJC-HD/7999000/7999000.m3u8
动画频道,#genre#
金鹰卡通,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JYKT-HD/7999000/7999000.m3u8
动漫秀场,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DMXC-HD/7999000/7999000.m3u8
卡酷动画,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-KKDH-HD/7999000/7999000.m3u8
综合频道,#genre#
电视指南,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DSZN-HD/7999000/7999000.m3u8
央视精品,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-YSJP-HD/7999000/7999000.m3u8
风云音乐,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-FYYY-HD/7999000/7999000.m3u8
北京纪实,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JSKJ-HD/7999000/7999000.m3u8
世界地理,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SJDL-HD/7999000/7999000.m3u8
环球旅游,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HQLY-HD/7999000/7999000.m3u8
海南旅游,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HANWS-SD/7999000/7999000.m3u8
发现之旅,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-FXZL-HD/7999000/7999000.m3u8
环球奇观,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HQQG-HD/7999000/7999000.m3u8
生态环境,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-STHJ-HD/7999000/7999000.m3u8
兵器科技,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-BQKJ-HD/7999000/7999000.m3u8
车迷,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CM-HD/7999000/7999000.m3u8
汽摩,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-QM-HD/7999000/7999000.m3u8
乐游,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-LY-HD/7999000/7999000.m3u8
游戏风云,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-YXFY-HD/7999000/7999000.m3u8
劲爆体育,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JBTY-HD/7999000/7999000.m3u8
魅力足球,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-MLZQ-HD/7999000/7999000.m3u8
风云足球,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-FYZQ-HD/7999000/7999000.m3u8
高尔夫网球,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-GEFWQ-HD/7999000/7999000.m3u8
央视台球,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-YSTQ-HD/7999000/7999000.m3u8
乒羽,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-XFPY-HD/7999000/7999000.m3u8
快乐垂钓,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-KLCD-HD/7999000/7999000.m3u8
四海钓鱼,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SHDY-HD/7999000/7999000.m3u8
武术世界,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-WSSJ-HD/7999000/7999000.m3u8
CCTV-中学生,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-ZXS-HD/7999000/7999000.m3u8
中国教育-1,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CETV1-HD/7999000/7999000.m3u8
中国教育-4,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CETV4-HD/7999000/7999000.m3u8
山东教育,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SDJY-HD/7999000/7999000.m3u8
早期教育,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-ZQJY-HD/7999000/7999000.m3u8
国学,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-GX-HD/7999000/7999000.m3u8
书画,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SH-HD/7999000/7999000.m3u8
茶频道,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CPD-HD/7999000/7999000.m3u8
文物宝库,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-WWBK-HD/7999000/7999000.m3u8
梨园,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-NYPD-HD/7999000/7999000.m3u8
东方财经,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DFCJ-HD/7999000/7999000.m3u8
家庭理财,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JTLC-HD/7999000/7999000.m3u8
财富天下,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CFTX-HD/7999000/7999000.m3u8
老故事,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-LGS-HD/7999000/7999000.m3u8
生活时尚,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SHSS-HD/7999000/7999000.m3u8
优优宝贝,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-YYBB-HD/7999000/7999000.m3u8
女性时尚,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-NXSS-HD/7999000/7999000.m3u8

